type,size,time,comparisons,exchanges
quick,4,7694,15,5,
quick,4,5300,15,3,
quick,4,4688,22,9,
quick,4,4418,15,4,
quick,4,7875,17,3,
quick,4,4648,15,4,
quick,4,5901,22,5,
quick,4,3606,15,4,
quick,4,3557,15,3,
quick,4,3537,15,4,


quick,8,9999,52,20,
quick,8,10990,63,13,
quick,8,8476,46,11,
quick,8,8666,52,14,
quick,8,14677,45,12,
quick,8,12423,44,12,
quick,8,8516,43,9,
quick,8,10519,51,14,
quick,8,11852,43,9,
quick,8,10339,44,13,


quick,16,20929,138,29,
quick,16,23113,115,26,
quick,16,28663,124,36,
quick,16,20859,127,35,
quick,16,23423,132,26,
quick,16,20167,123,36,
quick,16,23113,153,37,
quick,16,21290,133,36,
quick,16,18284,134,20,
quick,16,22201,124,44,


quick,32,82473,356,85,
quick,32,44162,334,83,
quick,32,47499,324,84,
quick,32,72204,331,71,
quick,32,45224,304,83,
quick,32,59671,414,125,
quick,32,55413,304,79,
quick,32,32450,316,88,
quick,32,28644,335,86,
quick,32,33392,352,88,


quick,64,94476,761,184,
quick,64,160088,864,203,
quick,64,109544,853,241,
quick,64,120555,770,181,
quick,64,81732,885,192,
quick,64,75321,868,230,
quick,64,78196,917,214,
quick,64,70561,848,220,
quick,64,120906,784,220,
quick,64,122288,825,165,


quick,128,423800,2120,497,
quick,128,358869,2389,405,
quick,128,288919,2170,499,
quick,128,302685,2217,596,
quick,128,321229,2075,531,
quick,128,316661,2071,561,
quick,128,229337,2080,463,
quick,128,258252,2032,592,
quick,128,231141,2101,509,
quick,128,229528,2167,580,


quick,256,716987,5214,1213,
quick,256,175207,5212,1263,
quick,256,161381,4510,956,
quick,256,154257,5289,1219,
quick,256,159958,4739,1183,
quick,256,170258,4674,1030,
quick,256,159297,4616,993,
quick,256,149128,5210,1244,
quick,256,158686,5450,1244,
quick,256,153265,4776,905,


quick,512,666513,12191,2839,
quick,512,546288,11617,2170,
quick,512,543653,11289,2229,
quick,512,538814,12142,2479,
quick,512,486116,11836,2058,
quick,512,554333,12743,2338,
quick,512,138648,11853,2386,
quick,512,134120,11863,2472,
quick,512,134300,11510,1950,
quick,512,131906,11466,2250,


quick,1024,272488,30313,4818,
quick,1024,272628,30067,5425,
quick,1024,258502,28755,4050,
quick,1024,261448,30857,4995,
quick,1024,260675,28821,4416,
quick,1024,277227,28373,4637,
quick,1024,386470,27809,4945,
quick,1024,457993,29909,5155,
quick,1024,375440,29731,4297,
quick,1024,400327,29235,4756,

type,size,time,comparisons,exchanges
quick,4,7314,17,3,
quick,4,4328,15,5,
quick,4,4669,22,9,
quick,4,4709,22,4,
quick,4,6693,22,7,
quick,4,3757,15,4,
quick,4,4859,15,5,
quick,4,5290,15,5,
quick,4,6212,22,4,
quick,4,5901,22,3,


quick,8,14738,47,10,
quick,8,9207,46,10,
quick,8,10309,56,13,
quick,8,10229,54,17,
quick,8,8706,43,9,
quick,8,12444,45,10,
quick,8,17022,48,16,
quick,8,15268,51,14,
quick,8,12994,44,9,
quick,8,14167,48,10,


quick,16,28013,126,33,
quick,16,29795,131,26,
quick,16,31849,142,41,
quick,16,25888,138,47,
quick,16,29134,110,32,
quick,16,31309,159,47,
quick,16,20128,158,45,
quick,16,20338,141,33,
quick,16,13485,134,29,
quick,16,22021,134,26,


quick,32,51476,326,81,
quick,32,38402,307,84,
quick,32,45044,371,89,
quick,32,63007,380,132,
quick,32,41818,331,78,
quick,32,50605,312,68,
quick,32,46086,394,143,
quick,32,41989,324,67,
quick,32,40226,322,80,
quick,32,43892,357,85,


quick,64,74309,828,262,
quick,64,85580,857,176,
quick,64,100328,751,211,
quick,64,88385,864,250,
quick,64,62317,989,249,
quick,64,57848,871,218,
quick,64,54512,718,198,
quick,64,59411,767,211,
quick,64,56956,960,248,
quick,64,56446,938,233,


quick,128,155661,2010,556,
quick,128,176430,1924,462,
quick,128,162874,1986,500,
quick,128,157475,1972,457,
quick,128,186288,2212,572,
quick,128,152375,2036,533,
quick,128,178073,2188,498,
quick,128,191508,2125,492,
quick,128,209922,1912,452,
quick,128,170719,1977,433,


quick,256,542715,4619,1095,
quick,256,191318,5275,1281,
quick,256,224149,4671,966,
quick,256,221013,4714,1073,
quick,256,209222,4642,1025,
quick,256,234158,5102,1077,
quick,256,183172,4860,1025,
quick,256,201086,5066,1093,
quick,256,227194,5034,1448,
quick,256,231452,5145,1053,


quick,512,825272,12233,2644,
quick,512,747929,12819,2793,
quick,512,224910,10994,2258,
quick,512,178674,10935,2160,
quick,512,187410,11059,2297,
quick,512,178414,13474,3343,
quick,512,183773,11530,2136,
quick,512,206496,12792,2788,
quick,512,183503,11149,2220,
quick,512,185527,11325,2140,


quick,1024,387344,30923,5189,
quick,1024,389158,29287,5176,
quick,1024,379710,28687,4900,
quick,1024,391021,29799,4726,
quick,1024,379680,29547,4400,
quick,1024,397624,29881,5681,
quick,1024,302996,31841,5977,
quick,1024,288589,27413,4503,
quick,1024,287317,30275,4842,
quick,1024,279613,29621,5610,

